"experiment","subject","condition","verbalStrategy1","verbalStrategy2","singleFeature","multipleFeature","holisticStrategy","singleDimType","combinedDimType"
"1A","p150212","low","Images with more bluish/cool colors I put into category A, and images with more yellowish/warm colors I put into category B",NA,0,0,1,NA,NA
"1A","p157080","low","BLACK TO THE LEFT.",NA,1,0,0,NA,NA
"1A","p20905","high","Yellow, orange, brown always went on the left side. Any circle that had at least two of those and in the same order also went on the left. Anything that didn't follow that rule, I put on the right. ",NA,0,1,0,NA,NA
"1A","p213384","high","I relied on the presence of orange to make my judgement between A and B",NA,1,0,0,NA,NA
"1A","p25634","low","I think if red was the darkest or most predominant color, it goes on the right side. If green is darkest or most predominant, it goes on the left side.",NA,1,0,0,NA,NA
"1A","p270949","low","The circles with greenish or more natural earth tone colors I put in Cat B. The circles with purple/pink tones included I put in Cat A. After that I just went with instinct with that in mind. ",NA,0,0,1,NA,NA
"1A","p299672","high","Category A was warmer colors and Category B was cooler colors",NA,0,0,1,NA,NA
"1A","p329481","low","the right most color",NA,1,0,0,NA,NA
"1A","p335876","low","It seemed like the upper right wedge was the key. Pink went in the left column, any other color was in the right column.",NA,1,0,0,NA,NA
"1A","p359420","high","If it had a blue wedge it went in Category A. All others went in category B.",NA,1,0,0,NA,NA
"1A","p382311","high","pattern",NA,0,0,0,NA,NA
"1A","p445288","high","No real strategy since I found trying to memorize three colors too difficult. I just tried to develop a feel for the game.",NA,0,0,0,NA,NA
"1A","p451009","low","",NA,0,0,0,NA,NA
"1A","p454103","high","It seemed that blue, red, and purple belonged in category A, and yellow, orange, and brown belonged in category B.  If a sample was presented with a mixture of both category A and B colors, the sample would belong in the category with majority representation. ",NA,0,1,0,NA,NA
"1A","p457572","high","Pies with a blue slice go to group a, pies with an orange slice go to group b.",NA,1,0,0,NA,NA
"1A","p461893","high","more neutral colors went on the right side",NA,0,0,1,NA,NA
"1A","p464208","high","red goes left-orange always goes right",NA,1,0,0,NA,NA
"1A","p475749","low","top right pink sections go left, top right yellow sections go right",NA,1,0,0,NA,NA
"1A","p511864","low","Tried to remember from earlier",NA,0,0,0,NA,NA
"1A","p516446","high","I didn't develop a firm idea of what the categories were.",NA,0,0,0,NA,NA
"1A","p532838","high","If 2/3 of the colors were of the red/blue variety I sorted on way, if the color scheme was 2/3 yellow/orange/brown I sorted the opposite.",NA,0,1,0,NA,NA
"1A","p541886","low","I just did it based on intuition.",NA,0,0,0,NA,NA
"1A","p551916","low","I put the darker graphs in B and the lighter ones in A",NA,0,0,1,NA,NA
"1A","p603987","high","kept rack of which colors went where in the first part.",NA,0,0,0,NA,NA
"1A","p636965","low","I just looked at the color at the top left part and based it off of that. I found that it worked most of the time.",NA,1,0,0,NA,NA
"1A","p653924","high","Red blue and purple were on left, yellow orange and brown on right. If a circle was 2/3 colors that belonged on the left it went left, otherwise it went right.",NA,0,1,0,NA,NA
"1A","p705771","high","just went based on my initial thought and gut feeling ",NA,0,0,0,NA,NA
"1A","p733783","low","I memorized because I wasn't sure what the conditions were/",NA,0,0,0,NA,NA
"1A","p797315","low","Where the green was pointing",NA,1,0,0,NA,NA
"1A","p83212","high","I think red and blue and purple were A, and orange yellow and brown were B. I looked for two of those colors in the circle and thats how i sorted",NA,0,1,0,NA,NA
"1A","p84535","high","Category A = Orange was presentnCategory B = Orange was NOT present",NA,1,0,0,NA,NA
"1A","p870430","high","trying to figure out a pattern",NA,0,0,0,NA,NA
"1A","p884210","low","Depending on the color pattern. Those with 2 or more gray shade should go to the right. If it has only 1 gray shade, it goes to the left. The rest will go to the left.",NA,0,1,0,NA,NA
"1A","p895820","low","The only rule I saw were dark colors were category A and light colors were category B.",NA,0,0,1,NA,NA
"1A","p919764","low","I was only guess it.",NA,0,0,0,NA,NA
"1A","p950416","high","Yes.  I believe I determined that all images with blue would belong to the category on the right, and that all images with yellow would belong to the category on the left.  However, it seemed that if an image had both yellow and blue that blue would override yellow and therefore the image would belong to the category on the right.",NA,1,0,0,NA,NA
"1A","p965102","high","if 2 or more matched one group i went with that category.",NA,0,1,0,NA,NA
"1A","p975756","low","By color",NA,0,0,0,NA,NA
"1B","p118304","high","I consider combinations of colors.",NA,0,0,0,NA,NA
"1B","p144198","low","I thought I had a 'cold vs warm colors' idea but it seems to be wrong.",NA,0,0,1,NA,NA
"1B","p152554","high","Instinct",NA,0,0,0,NA,NA
"1B","p196101","high","I sort images based on a color combination.",NA,0,0,0,NA,NA
"1B","p251781","low","the more pastel colors were in the right B group and the ones with brighter colors went on the left A group",NA,0,0,1,NA,NA
"1B","p255780","low","I noticed Category A had a yellow top right piece, and Category B did not.",NA,1,0,0,NA,NA
"1B","p2679","low","I thought it had to do with the upper left color, but then it didn't",NA,1,0,0,NA,NA
"1B","p297840","high","Category B images had brown in them.",NA,1,0,0,NA,NA
"1B","p307096","low","I just tried to memorize which images should go to which category.",NA,0,0,0,NA,NA
"1B","p325286","low","cold colors vs hot colors",NA,0,0,1,NA,NA
"1B","p388613","high","I decided that anything with red went to the right and anything with out went left",NA,1,0,0,NA,NA
"1B","p400306","low","I think category A is for the cooler colors and category B more for the warmer colors.",NA,0,0,1,NA,NA
"1B","p40774","low","If a circle had gold in it, I put it in category B.  All others went to category A.",NA,1,0,0,NA,NA
"1B","p43746","low","I actually think I got it really quick. If the circle contained the mustard yellow color in the first third of the circle, then it belonged to category A. Everything else was category B.",NA,1,0,0,NA,NA
"1B","p442943","high","Images with at least 2 Primary colors were sorted into category A and those with 1 or fewer primary colors were sorted into category B.",NA,0,1,0,NA,NA
"1B","p452770","high","I guessed for each. ",NA,0,0,0,NA,NA
"1B","p470610","high","Anything with brown in it went in B",NA,1,0,0,NA,NA
"1B","p521566","high","Look for the same color in the upper right hand of the pie.",NA,1,0,0,NA,NA
"1B","p607594","low","If there is brown in the upper right segment, it is B, otherwise, it is A",NA,1,0,0,NA,NA
"1B","p656742","high","if it was dull it went in category a.  bright colors in cat b.",NA,0,0,1,NA,NA
"1B","p657163","low","Certain shades of color were in category A, rest in B",NA,0,0,0,NA,NA
"1B","p676590","high","Category A has a brown third of the pie. Category B has a red third of the pie",NA,1,0,0,NA,NA
"1B","p700234","high","Was trying to match colors best I could.",NA,0,0,0,NA,NA
"1B","p701174","low","The ones with the darker green with a yellow tint to it up the upper right side went in category B the others went in A",NA,1,0,0,NA,NA
"1B","p720473","low","I first noted that there were 3 colors, red, light green, and dark green on one wheel, and blue, light blue, and purple on the other. When red, green, and blue appeared on the same wheel and were sorted into category B I knew that if it had at least 2 of the original 3 colors on it then it went to that side. I tested this theory and I did not miss any other images so I assume this is the correct way to sort the shapes.  ",NA,0,1,0,NA,NA
"1B","p727068","high","A seemed like cooler colors, B like warmer colors.",NA,0,0,1,NA,NA
"1B","p7390","high","Hmm, well it felt like brighter, more vivid colors went into Category B, while duller darker colors fit into Category A.",NA,0,0,1,NA,NA
"1B","p742227","high","I relied on my intuition and 'instinct' about what had gone where before.",NA,0,0,0,NA,NA
"1B","p756846","low","I didn't have a particular strategy, really. A's colors seemed to be a bit warmer than B's.",NA,0,0,1,NA,NA
"1B","p79029","low","At first i tried to determine by bright and dark colors but i could not identify the pattern to the sorting",NA,0,0,1,NA,NA
"1B","p837559","high","I analyzed what particular colors here correct in category A OR b",NA,0,0,0,NA,NA
"1B","p881419","high","if it had brown i put it in B..anything else went in A",NA,1,0,0,NA,NA
"1B","p884130","low","I tried to use the first phase to determine which types or categories of colors belonged in which side. Category B seemed to be brighter, vibrant and more contrasting colors, Category A seemed more grayscale and dull colors.",NA,0,0,1,NA,NA
"1B","p908706","high","Looking at particular colors and where they were in the circle.",NA,0,0,0,NA,NA
"1B","p938065","high","Brown went to B all else went A",NA,1,0,0,NA,NA
"1B","p939616","low","I tried to sort them by color.",NA,0,0,0,NA,NA
"1B","p964545","high","I am not really sure.  I think that if it had any two of the colors blue red or purple it was category A and if it had any two of the colors orange yellow or brown it was category B",NA,0,1,0,NA,NA
"1B","p967728","high","darker deep colors on A and the bright colorful to B",NA,0,0,1,NA,NA
"1B","p975571","high","The consistent colors were red and brown in the upper right of the pie charts. So all of the reds went together and the browns went together. ",NA,1,0,0,NA,NA
"1B","p977529","low","I could not find a pattern, and so I guessed. ",NA,0,0,0,NA,NA
"3A","p118388","low","I looked at the shape in the 1 o'clock section of the image to determine the category. The shape with one large point pointing up was always category A, and the other shape with two even points facing right was always category B.","I only used the shape in the 1 o'clock position.",1,0,0,NA,NA
"3A","p126056","high","Top right corner shapes.","The bear looking thing, and the demented tree",1,0,0,NA,NA
"3A","p156352","low","I was looking at the image in the top right. The determined where things went. ","Images at top right. one had a specific shape that always went to category A.  All others went to B",1,0,0,NA,NA
"3A","p178587","high","It was easy to determine between the two. The one that went to Category B had an elephant shape on it. The one that went to Category B had the shape of an origami swan on it.","Elephant shape and swan shape",1,0,0,NA,NA
"3A","p188122","low","i tried to learn the shapes during the practuce rounds","USED KNOWLEDGE GAINED FROM THE PRACTICE. I CANT REALLY EXPLAIN THE SHAPES THEY WERE RATHER FUNKY.",0,0,0,NA,NA
"3A","p193379","high","i tried looking at the different shapes to see if they looked like they went together ","the larger black shapes",0,0,1,NA,NA
"3A","p212667","high","Category A had a teapot looking thing on the top and category b had a bear or animal looking shape thing on top.","the teapot and the bear.",1,0,0,NA,NA
"3A","p222050","high","Although some of the patterns looked the same I figured out which ones were specific to A and B. The bear shape in the B images made it easier for me to recognize them as B images.","The bear shape image and one on the A images that looked like a swan.",1,0,0,NA,NA
"3A","p22760","low","The image on top right corresponded with different categories and I tried to remember","Top right",1,0,0,NA,NA
"3A","p239102","low","I just kind of felt ones that were tighter bunched when into Category A.","triangles",0,0,1,NA,NA
"3A","p270482","high","I choose B more often","",0,0,0,NA,NA
"3A","p278107","high","I identified a particular shape on each image type and decided based on that shape.","There was a shape like a tree I used on one picture, and one that looked like a large animal on the other.",1,0,0,NA,NA
"3A","p350172","low","Was kind of just guessing as I did not figure out exactly what it was that was different.","all three of them and where they were located.",0,0,0,NA,NA
"3A","p393665","low","The shape in the upper right corner that appeared to have a wing went into the B category, and the one without a wing went into the A category. ","I used the shape in the upper right corner. ",1,0,0,NA,NA
"3A","p41675","high","Remembering images.","The right side was the claw. The left side was the tree stump.",1,0,0,NA,NA
"3A","p48468","high","At first I wasn't sure, then I figured out that only the upper right third of the circle mattered","I don't know how to describe the shape they were all random blobs",1,0,0,NA,NA
"3A","p485594","high","I put the taller objects in the category on the right, and the smaller more compact ones on the left.","The top right shape",1,0,0,NA,NA
"3A","p500297","high","I only responded to the feedback...","the one that appeared a bit like an animal",0,0,0,NA,NA
"3A","p533711","low","Yes - I looked at the image in the top right third of the wheel. That shape seemed to determine where it went - I didn't really pay attention to the other shapes, because that shape seemed to work. There was a \one prong\ and a \two prong\ shape - one prongs went on the left, two prongs went on the right. After the first couple incorrects, I sorted correctly. ","See above - top right third of the wheel image. ",1,0,0,NA,NA
"3A","p608709","low","I memorized the pictures.","The top one on the right.",1,0,0,NA,NA
"3A","p626144","low","Top right image looked like a rabbit, it goes left.\nTop right image looked like a snake, it went right.","Rabbit and snake shape. Top right image.",1,0,0,NA,NA
"3A","p642020","low","I used the first task that told me if I was correct or wrong as a basis for my judgements. ","I mainly looked at the top most shaped and remembered which category that shape belonged in. ",1,0,0,NA,NA
"3A","p655588","low","I TRIED TOO LOOK FOR SHAPE COROLATIONS","ALL OF THEM",0,0,0,NA,NA
"3A","p674670","low","I was looking at the image on the top right to determine which category it was in.","The one on the top right.",1,0,0,NA,NA
"3A","p69605","low","One item in category B looked like a rabbit so I reminded myself B for bunny. Category A had an item that looked like a frog so it was A for Amphibian. ","In both categories I looked at the shapes on the top.",1,0,0,NA,NA
"3A","p739166","high","no, just went my memory of what was right or wrong","the top one",1,0,0,NA,NA
"3A","p752119","low","I named one of the three objects in each stimulus (bird and bunny if you must know), and sorted according to that single object.","The upper right shape.",1,0,0,NA,NA
"3A","p754866","low","Looked at the top right image of the three","Top right",1,0,0,NA,NA
"3A","p75780","high","Category A always had the figure I labeled \man dude\ in the upper right and Category B always had the \hand thing/crane\ in the upper right, so I based them all on that.","The one that looked like a man for A and the one that looked like a crooked hand for B. But only if they were in a certain position.",1,0,0,NA,NA
"3A","p767045","low","None at all. ","If I saw a difference. ",0,0,0,NA,NA
"3A","p773627","low","i looked at the top right image","i looked at the top right image",1,0,0,NA,NA
"3A","p844911","low","I took one shape that I was sure of and put in in the same place every time","The one that looked like a \hangman\ game",1,0,0,NA,NA
"3A","p907332","high","After seeing the practice round, I thought one of the images in A looked like a tree stump and one of the ones in B looked like an animal so I sorted them that way.","tree stump and animal",1,0,0,NA,NA
"3A","p946632","low","mostly category B but I don't know why","none",0,0,0,NA,NA
"3A","p947691","high","I followed my intuition","The 3 shapes",0,0,0,NA,NA
"3A","p9542","low","I tried to remember just based on the shapes which went where but it was extremely difficult.","All of them",0,0,0,NA,NA
"3A","p978196","high","If it had the sharp looking shape, it belonged in category B.","The sharp looking shape that looks like it is holding a staff.",1,0,0,NA,NA
"3A","p991210","high","I used the image on the top right. ","The tall image in the top right.",1,0,0,NA,NA
"3B","p103609","high","I paid attention to the shapes","I used the shapes that differed on each choice.",0,0,0,NA,NA
"3B","p111096","high","Initially I tried sorting the ones with the long skinny, boxy shape in them into category A, and it worked, so I stuck with it.","The one that looked like two skinny rectangles stuck together.",1,0,0,NA,NA
"3B","p120885","high","The image with the stick like part was always in B and the big sqiggly that looks like a swan was in A","Swan and Stick",1,0,0,NA,NA
"3B","p123598","high","I tried to remember one specific image that was correct on each side. There was a dinosaur looking shape on one side and there's a plant looking shape on another.","Plant and Dinosaur",1,0,0,NA,NA
"3B","p134910","low","At first I thought maybe the positioning of the shapes in the circle was the determining factor, then I realized the images needed to be categorized based on the black shapes within them. One set of black shapes always meant category A, and the other set of black shapes meant category B. ","There was one particular black shape with a large gap in it, I knew the set of shapes it belonged to always went to category A. ",1,0,0,NA,NA
"3B","p143519","low","I recognized one of the shapes that I thought looked like a swan.","One that looked like a swans head looking to the left.",1,0,0,NA,NA
"3B","p156474","high","At first, I was focused on the positions of the shapes and where they were located. Then, I started to focus on the shapes themselves. After a few mistakes, I started noticing that a certain shape would always be on the left, and another shape would always be on the right. It always seemed to be about two shapes and the others didn't matter. Once I figured this out, all I had to do was focus on these two shapes and that would tell me whether they belonged in category a or category b.","The first shape I used to make my decision was the one which looked like a swan. It was always in category a. Then, the other shape that I used to make my decision was the one that looked like a tall desert mesa, which was always in category b.",1,0,0,NA,NA
"3B","p164942","low","There was a part of one of the images sticking out and that belongs to B","Based on the part that was sticking out.",1,0,0,NA,NA
"3B","p17502","low","It was a particular way they were flipped, but it was much harder without feed back","The ones with the sharp ends.",0,0,1,NA,NA
"3B","p185689","low","I thought the shapes with the angle facing right usually went in the right box","it was like a circle with a hook coming out of it",1,0,0,NA,NA
"3B","p188992","low","I sent the ones with mostly pointed edges left and the ones with more square edges to the right. ","squares",0,0,1,NA,NA
"3B","p205273","high","The cup looking thing goes left and the scribble goes right.","The cup looking thing goes left and the scribble goes right.",1,0,0,NA,NA
"3B","p232179","low","I guessed based on intuition. For the images that had two black shapes with large empty holes in their bodies, they seemed to be more category A.","The entirety of the image.",0,0,1,NA,NA
"3B","p237236","high","Category A would be a shape that looks like dragon, Category B would be anything else","Dragon shape",1,0,0,NA,NA
"3B","p264328","low","i used the oragami frog shaped thing to the left, others to the right","frog",1,0,0,NA,NA
"3B","p266479","low","There was one shape that I found in the training that made it in the A category so whenever I saw that I put it in A and everything else in B. ","Just one shape, didn't matter the position on the wheel. It's hard to describe the shape since they are all kind of abstract. ",1,0,0,NA,NA
"3B","p273035","high","I particularly paid attention to the one shape that looked like a dragon.  I figured out the pattern that that shape fit into the same category","the one shaped like a dragon",1,0,0,NA,NA
"3B","p289090","high","Skinny long pole went in the right and squat stuff on the left","Skinny long pole went in the right and squat stuff on the left",1,0,0,NA,NA
"3B","p30211","low","I tried to pay attention to the shapes and which direction the images seemed to be \turning\","open or closed, angled or not, etc.",0,0,1,NA,NA
"3B","p302663","high","There was one specific type of shape that had a long skinny part that jutted out. If I saw that part of the shape, I put them in category B and if I didn't, I put them in category A.","Parts of shapes that were long, skinny and jutted out.",1,0,0,NA,NA
"3B","p31467","high","the pictures the one that looked like a cactus to the right without cactus to the left","cactus looking",1,0,0,NA,NA
"3B","p331904","low","I decided to put them all on one side that I could have about a 50% chance of correct answers.","used all of them",0,0,0,NA,NA
"3B","p354954","low","I looked for the shape that looked like a rabbit and I knew that was category B.","the one that looked like a rabbit.",1,0,0,NA,NA
"3B","p361001","high","It was something that looked like it was the shape of a bear. If the image had that shape I dragged it to the right side ","the shape that looked like a bear ",1,0,0,NA,NA
"3B","p387127","low","I used the feedback and then tried to memorize which shape belonged to group A or B.","I noticed that Group A had a sharp point.",1,0,0,NA,NA
"3B","p399387","high","I decided to keep putting the same shapes onto the left right from the beginning. ","If I saw a crane shape, it would go to the right",1,0,0,NA,NA
"3B","p417548","low","I  used the feedback and I paid attention to the shapes","all of them ",0,0,0,NA,NA
"3B","p417810","high","i went with how similar the shapes were to what I notice was the correct categorization form the earlier round","there is only one shape from each category that I use to decide, as the others doen't seem to matter",1,0,0,NA,NA
"3B","p445847","low","I tried to pay attention to which specific shapes and placements went where","? Location and specific shapes",0,0,0,NA,NA
"3B","p446657","low","I looked for a shape that looked like a rabbit and it seemed to always go into category A so I always put the shape in category A if it had the rabbit and if it didnt' it went in category B","A rabbit shaped piece",1,0,0,NA,NA
"3B","p459378","high","My strat was if you saw the boot with the stick go to B anything else i went to A","I think the boot with the stick has the greatest influence.",1,0,0,NA,NA
"3B","p461727","high","The kermit the frog character went to the left and the dragon went to the right","The kermit the frog and the dragon",1,0,0,NA,NA
"3B","p470875","low","One had a shape that looked like a bunny, that one was always category A. The other had a shape that looked like hair, that was category B.","Bunny and hair",1,0,0,NA,NA
"3B","p478884","high","I associated on of the shapes in category A with a witch. This shape appeared in each picture that belonged on that side. Category B had a frog that I associated with it.","One that appeared to me to be a witch, and one that appeared to be a frog.",1,0,0,NA,NA
"3B","p48105","high","I tried to remember where the shapes went in the first trial. I memorized what shapes to recall.","I used a skinny shape and a large shape with 3 pointed sides.",1,0,0,NA,NA
"3B","p482973","low","By one particular shape that looked a little bit like an anchor at one point. ","The one shape that had a bit of an anchor shape to it at the top. I always sorted that one to the left and it was always accepted that way. ",1,0,0,NA,NA
